"variant","animation","direction","asset_kind","status","required_for","relative_path"
"act_ii_salting","idle","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/idle_back.png"
"act_ii_salting","idle","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/idle_back.png"
"act_ii_salting","idle","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/idle_front.png"
"act_ii_salting","idle","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/idle_front.png"
"act_ii_salting","idle","side_left","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/idle_side_left.png"
"act_ii_salting","idle","side_left","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/idle_side_left.png"
"act_ii_salting","idle","side_right","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/idle_side_right.png"
"act_ii_salting","idle","side_right","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/idle_side_right.png"
"act_ii_salting","talk","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/talk_back.png"
"act_ii_salting","talk","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/talk_back.png"
"act_ii_salting","talk","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/talk_front.png"
"act_ii_salting","talk","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/talk_front.png"
"act_ii_salting","talk","side_left","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/talk_side_left.png"
"act_ii_salting","talk","side_left","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/talk_side_left.png"
"act_ii_salting","talk","side_right","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/talk_side_right.png"
"act_ii_salting","talk","side_right","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/talk_side_right.png"
"act_ii_salting","use","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/use_back.png"
"act_ii_salting","use","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/use_back.png"
"act_ii_salting","use","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/use_front.png"
"act_ii_salting","use","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/use_front.png"
"act_ii_salting","use","side_left","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/use_side_left.png"
"act_ii_salting","use","side_left","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/use_side_left.png"
"act_ii_salting","use","side_right","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/use_side_right.png"
"act_ii_salting","use","side_right","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/use_side_right.png"
"act_ii_salting","walk","back","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/walk_back.png"
"act_ii_salting","walk","back","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/walk_back.png"
"act_ii_salting","walk","front","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/walk_front.png"
"act_ii_salting","walk","front","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/walk_front.png"
"act_ii_salting","walk","side_left","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/walk_side_left.png"
"act_ii_salting","walk","side_left","sheet_export","pending","Sprite-sheet export","art/export/characters/corvin/act_ii_salting/walk_side_left.png"
"act_ii_salting","walk","side_right","godot_import","pending","Godot runtime sprite","game/characters/corvin/sprites/act_ii_salting/walk_side_right.png"
